table_name,column_name
dim_ai_date,date_key
dim_ai_provider,provider_key
dim_ai_model,model_key
dim_ai_application,application_key
dim_ai_experiment,experiment_key
fact_ai_financial_monthly,financial_monthly_id
fact_ai_financial_monthly,date_key
fact_ai_financial_monthly,provider_key
fact_ai_financial_monthly,model_key
fact_ai_financial_monthly,application_key
fact_ai_usage_monthly,usage_monthly_id
fact_ai_usage_monthly,date_key
fact_ai_usage_monthly,provider_key
fact_ai_usage_monthly,model_key
fact_ai_unit_economics_monthly,unit_economics_id
fact_ai_unit_economics_monthly,date_key
fact_ai_unit_economics_monthly,provider_key
fact_ai_unit_economics_monthly,model_key
fact_ai_optimization_monthly,recommendation_id
fact_ai_optimization_monthly,date_key
fact_ai_optimization_monthly,provider_key
fact_ai_optimization_monthly,model_key
fact_ai_experiment_current,experiment_governance_id
fact_ai_experiment_current,experiment_key
fact_ai_experiment_current,date_key
